year,state,county_fips,county_name,hazard_event_count,event_type_count,dominant_event_type,wind_speed_mph,hail_size_inches,flood_depth_feet,storm_duration_hours,property_damage_usd,nfip_claim_count,avg_building_payout_usd,avg_contents_payout_usd,total_nfip_payout_usd,nfip_record_available,median_income_usd,population_density_per_sq_mi,housing_age_median_years,construction_type,vacancy_rate_pct,homeownership_rate_pct,pct_units_pre1980,total_observed_loss_usd,log_property_damage,log_total_nfip_payout,log_total_observed_loss,severity_metric,high_severity_flag,socioeconomic_resilience_index,wind_speed_mph_outlier_flag,hail_size_inches_outlier_flag,flood_depth_feet_outlier_flag,storm_duration_hours_outlier_flag,property_damage_usd_outlier_flag,nfip_claim_count_outlier_flag,total_nfip_payout_usd_outlier_flag,median_income_usd_outlier_flag,population_density_per_sq_mi_outlier_flag
2000,AL,01097,Mobile,1,1,Flash Flood,63.4,0.0,3.18,5.8,16673,49.0,71409.0,8988.0,3939453.0,1,46473,451,42,wood,15.2,74.0,53.6,3956126.0,9.721605898970559,15.186552692991,15.190776074343924,0.4181456403679918,0,0.04612520635799422,0,0,1,0,0,0,0,0,0
2000,AZ,04013,Maricopa,1,1,Winter Storm,36.6,0.0,0.0,1.7,93323,13.0,39642.0,20961.0,787839.0,1,60964,510,22,masonry,13.1,73.2,20.7,881162.0,11.443832588482943,13.57705030253817,13.688997904830885,0.28793172986763677,0,1.1438382326313867,0,0,0,0,0,0,0,0,0
2000,AR,05119,Pulaski,2,1,Thunderstorm Wind,97.0,0.0,0.0,7.199999999999999,17227,25.0,11005.0,4218.0,380575.0,1,48723,386,36,wood,7.0,63.3,43.2,397802.0,9.754291246174,12.849441173526971,12.893712186851701,0.3404953214180643,0,0.4321092496531801,0,0,0,0,0,0,0,0,0
2000,CA,06037,Los Angeles,1,1,Wildfire,48.4,0.0,0.0,1.4,4900,55.0,31007.0,8830.0,2191035.0,1,72690,2416,45,wood,13.0,60.0,42.7,2195935.0,8.497194544909547,14.59988504929611,14.60211893728887,0.27021377778035044,0,0.0735387560546747,0,0,0,0,0,0,0,0,0
2000,CA,06073,San Diego,1,1,Winter Storm,14.3,0.0,0.0,1.7,20602,21.0,45860.0,5235.0,1072995.0,1,77525,762,32,wood,14.1,62.8,35.0,1093597.0,9.933191975242458,13.88596529374009,13.904983735567965,0.25583601755308394,0,0.5103871167761894,0,0,0,0,0,0,0,0,0
2000,CO,08031,Denver,2,1,Thunderstorm Wind,81.1,0.0,0.0,5.3,93876,3.0,27204.0,11626.0,116490.0,1,68016,4457,40,wood,16.1,59.0,50.0,210366.0,11.449740693766254,11.665569295784824,12.256608903437904,0.3264112335115957,0,-0.18485757508208173,0,0,0,0,0,0,0,0,0
2000,FL,12057,Hillsborough,2,2,Flash Flood,109.4,0.0,4.07,11.8,191284,396.0,19686.0,7937.0,10938708.0,1,54679,1345,32,masonry,7.1,61.5,44.8,11129992.0,12.161519741481076,16.207818340682085,16.22515409432071,0.5513748853752801,1,0.47598378614917214,0,0,1,0,0,1,1,0,0
2000,FL,12086,Miami-Dade,1,1,Hurricane (Typhoon),151.8,0.0,3.4,7.1,33173,161.0,43462.0,6011.0,7965153.0,1,50721,1404,38,masonry,5.2,63.0,43.5,7998326.0,10.409521715565988,15.890586835728202,15.894742952774427,0.5147616262505694,1,0.49506084268724637,0,0,1,0,0,1,0,0,0
2000,GA,13089,Dekalb,1,1,Thunderstorm Wind,75.7,0.0,0.0,10.6,14133,21.0,102192.0,8118.0,2316510.0,1,56444,2638,40,wood,16.4,58.3,42.9,2330643.0,9.5563385212508,14.655572732370626,14.661655182201649,0.3572285557602017,0,-0.2242208193647714,0,0,0,0,0,0,0,0,0
2000,IL,17031,Cook,2,1,Flash Flood,59.0,0.0,0.52,13.9,45974,54.0,88614.0,8922.0,5266944.0,1,62328,5805,52,wood,10.5,56.7,57.5,5312918.0,10.735853049472523,15.47696105603394,15.485651959692923,0.3992032662614536,0,-0.3529762658053056,0,0,1,0,0,0,0,0,1
